,family,taxonomic_group,trophic_level
139,Anomoeoneidaceae,phototrophic protists,1
140,Attheyaceae,phototrophic protists,1
141,Bacillariaceae,phototrophic protists,1
142,Berkeleyaceae,phototrophic protists,1
143,Biddulphiaceae,phototrophic protists,1
144,Chaetocerotaceae,phototrophic protists,1
145,Coscinodiscaceae,phototrophic protists,1
146,Cymatosiraceae,phototrophic protists,1
147,Entomoneidaceae,phototrophic protists,1
148,Eunotiaceae,phototrophic protists,1
149,Fragilariaceae,phototrophic protists,1
150,Gomphonemataceae,phototrophic protists,1
151,Hemiaulaceae,phototrophic protists,1
152,Hemidiscaceae,phototrophic protists,1
153,Leptocylindraceae,phototrophic protists,1
154,Licmophoraceae,phototrophic protists,1
155,Lithodesmiaceae,phototrophic protists,1
156,Naviculaceae,phototrophic protists,1
157,Phaeodactylaceae,phototrophic protists,1
158,Plagiogrammaceae,phototrophic protists,1
159,Rhizosoleniaceae,phototrophic protists,1
160,Skeletonemataceae,phototrophic protists,1
161,Stephanodiscaceae,phototrophic protists,1
162,Thalassiosiraceae,phototrophic protists,1
163,Toxariaceae,phototrophic protists,1
164,Triceratiaceae,phototrophic protists,1
165,Ulnariaceae,phototrophic protists,1
166,Chromulinaceae,phototrophic protists,1
167,Chrysolepidomonadaceae,phototrophic protists,1
168,Staurosiraceae,phototrophic protists,1
169,Cyanophoraceae,phototrophic protists,1
170,Pavlovaceae,phototrophic protists,1
171,Chrysochromulinaceae,phototrophic protists,1
172,Phaeocystaceae,phototrophic protists,1
173,Hymenomonadaceae,phototrophic protists,1
174,Triparmaceae,phototrophic protists,1
175,Pinguiochrysidaceae,phototrophic protists,1
176,Eustigmataceae,phototrophic protists,1
177,Monodopsidaceae,phototrophic protists,1
178,Chattonellaceae,phototrophic protists,1
179,Mallomonadaceae,phototrophic protists,1
180,Cyanidiaceae,red algae,1
181,Acytosteliaceae,slime mold,2
182,Cavenderiaceae,slime mold,2
183,Characeae,streptophytes,1
184,Klebsormidiaceae,streptophytes,1
185,Closteriaceae,streptophytes,1
186,Desmidiaceae,streptophytes,1
187,Mesotaeniaceae,streptophytes,1
188,Zygnemataceae,streptophytes,1
189,Cirratulidae,sessile/sedimentary benthos,2
190,Polynoidae,mobile benthos,3
191,Terebellidae,sessile/sedimentary benthos,2
192,Daphniidae,crustaceans,3
193,Aegisthidae,crustaceans,3
194,Harpacticidae,crustaceans,3
195,Tetragonicipitidae,crustaceans,3
196,Gecarcinidae,crustaceans,3
197,Hyalellidae,crustaceans,3
198,Lysianassidae,crustaceans,3
199,Parastacidae,crustaceans,3
200,Penaeidae,crustaceans,3
201,Portunidae,crustaceans,3
202,Limulidae,crustaceans,3
203,Acinetosporaceae,brown algae,1
204,Lingulidae,sessile/sedimentary benthos,2
205,Gromiidae,heterotrophic protists,2
206,Codiaceae,chlorophytes,1
207,Derbesiaceae,chlorophytes,1
208,Halimedaceae,chlorophytes,1
209,Ostreobiaceae,chlorophytes,1
210,Polyphysaceae,chlorophytes,1
211,Ulvaceae,chlorophytes,1
212,Acipenseridae,demersal fish,3
213,Ammodytidae,demersal fish,3
214,Anarhichadidae,demersal fish,3
215,Anoplopomatidae,demersal fish,3
216,Batrachoididae,demersal fish,3
217,Blenniidae,demersal fish,3
218,Cottidae,demersal fish,3
219,Cynoglossidae,demersal fish,3
220,Gadidae,demersal fish,3
221,Liparidae,demersal fish,3
222,Oreosomatidae,demersal fish,3
223,Paralichthyidae,demersal fish,3
224,Pleuronectidae,demersal fish,3
225,Sebastidae,demersal fish,3
226,Sparidae,demersal fish,3
227,Syngnathidae,demersal fish,3
228,Zoarcidae,demersal fish,3
229,Cionidae,sessile/sedimentary benthos,2
230,Pyuridae,sessile/sedimentary benthos,2
231,Styelidae,sessile/sedimentary benthos,2
232,Rajidae,demersal fish,3
233,Myxinidae,demersal fish,3
234,Acroporidae,sessile/sedimentary benthos,2
235,Actiniidae,sessile/sedimentary benthos,2
236,Aiptasiidae,sessile/sedimentary benthos,2
237,Edwardsiidae,sessile/sedimentary benthos,2
238,Merulinidae,sessile/sedimentary benthos,2
239,Nephtheidae,sessile/sedimentary benthos,2
240,Pocilloporidae,sessile/sedimentary benthos,2
241,Campanulariidae,sessile/sedimentary benthos,2
242,Hydridae,sessile/sedimentary benthos,2
243,Saccosporidae,sessile/sedimentary benthos,2
244,Acanthasteridae,mobile benthos,3
245,Asteriidae,mobile benthos,3
246,Strongylocentrotidae,mobile benthos,3
247,Arcidae,sessile/sedimentary benthos,2
248,Mytilidae,sessile/sedimentary benthos,2
249,Ostreidae,sessile/sedimentary benthos,2
250,Pectinidae,sessile/sedimentary benthos,2
251,Pteriidae,sessile/sedimentary benthos,2
252,Octopodidae,mobile benthos,3
253,Aplysiidae,mobile benthos,3
254,Haliotidae,mobile benthos,3
255,Lottiidae,mobile benthos,3
256,Provannidae,mobile benthos,3
257,Oxystominidae,mobile benthos,3
258,Agaraceae,brown algae,1
259,Alariaceae,brown algae,1
260,Dictyotaceae,brown algae,1
261,Ectocarpaceae,brown algae,1
262,Fucaceae,brown algae,1
263,Laminariaceae,brown algae,1
264,Sargassaceae,brown algae,1
265,Scytosiphonaceae,brown algae,1
266,Dugesiidae,mobile benthos,3
267,Niphatidae,sessile/sedimentary benthos,2
268,Priapulidae,sessile/sedimentary benthos,2
269,Bangiaceae,red algae,1
270,Porphyridiaceae,red algae,1
271,Acrochaetiaceae,red algae,1
272,Areschougiaceae,red algae,1
273,Batrachospermaceae,red algae,1
274,Bonnemaisoniaceae,red algae,1
275,Ceramiaceae,red algae,1
276,Corallinaceae,red algae,1
277,Dasyaceae,red algae,1
278,Delesseriaceae,red algae,1
279,Gelidiaceae,red algae,1
280,Gigartinaceae,red algae,1
281,Gracilariaceae,red algae,1
282,Halymeniaceae,red algae,1
283,Hapalidiaceae,red algae,1
284,Hildenbrandiaceae,red algae,1
285,Hypneaceae,red algae,1
286,Kallymeniaceae,red algae,1
287,Liagoraceae,red algae,1
288,Palmariaceae,red algae,1
289,Phyllophoraceae,red algae,1
290,Rhodogorgonaceae,red algae,1
291,Rhodomelaceae,red algae,1
292,Rhodymeniaceae,red algae,1
293,Solieriaceae,red algae,1
294,Spyridiaceae,red algae,1
295,Wrangeliaceae,red algae,1
296,Zosteraceae,streptophytes,1
